antigenicity_score,antigen_prediction
0.3233,Probable Non-Antigen
0.6706,Probable Antigen
1.0625,Probable Antigen
0.4271,Probable Non-Antigen
-0.2254,Probable Non-Antigen
0.9026,Probable Antigen
-0.2668,Probable Non-Antigen
0.2055,Probable Non-Antigen
-0.2973,Probable Non-Antigen
0.3916,Probable Non-Antigen
0.2631,Probable Non-Antigen
1.1548,Probable Antigen
1.1038,Probable Antigen
1.2241,Probable Antigen
0.2349,Probable Non-Antigen
0.96,Probable Antigen
1.29,Probable Antigen
0.7881,Probable Antigen
0.5168,Probable Antigen
0.3022,Probable Non-Antigen
0.4053,Probable Non-Antigen
0.8274,Probable Antigen
0.6486,Probable Antigen
-0.5305,Probable Non-Antigen
0.3193,Probable Non-Antigen
0.428,Probable Non-Antigen
0.3702,Probable Non-Antigen
0.698,Probable Antigen
-0.1295,Probable Non-Antigen
-0.1803,Probable Non-Antigen
0.3785,Probable Non-Antigen
0.3846,Probable Non-Antigen
0.7389,Probable Antigen
1.1733,Probable Antigen
1.1165,Probable Antigen
0.0675,Probable Non-Antigen
-0.1322,Probable Non-Antigen
0.0089,Probable Non-Antigen
0.4052,Probable Non-Antigen
0.2992,Probable Non-Antigen
1.999,Probable Antigen
1.3089,Probable Antigen
0.1804,Probable Non-Antigen
0.765,Probable Antigen
-0.0296,Probable Non-Antigen
0.2502,Probable Non-Antigen
0.7753,Probable Antigen
0.5037,Probable Antigen
1.6159,Probable Antigen
1.6842,Probable Antigen
-0.2497,Probable Non-Antigen
0.9998,Probable Antigen
-0.2937,Probable Non-Antigen
0.9755,Probable Antigen
0.6744,Probable Antigen
0.872,Probable Antigen
0.7003,Probable Antigen
0.2135,Probable Non-Antigen
0.2447,Probable Non-Antigen
0.1621,Probable Non-Antigen
0.0753,Probable Non-Antigen
1.0279,Probable Antigen
0.6462,Probable Antigen
-0.0419,Probable Non-Antigen
0.2605,Probable Non-Antigen
1.0278,Probable Antigen
0.0713,Probable Non-Antigen
-0.2311,Probable Non-Antigen
0.7785,Probable Antigen
1.0296,Probable Antigen
0.3154,Probable Non-Antigen
0.0693,Probable Non-Antigen
0.5906,Probable Antigen
0.353,Probable Non-Antigen
0.9195,Probable Antigen
-0.7442,Probable Non-Antigen
-0.7585,Probable Non-Antigen
0.6982,Probable Antigen
0.6376,Probable Antigen
0.8835,Probable Antigen
0.8074,Probable Antigen
0.1667,Probable Non-Antigen
1.5912,Probable Antigen
-0.0058,Probable Non-Antigen
0.548,Probable Antigen
2.0317,Probable Antigen
0.8535,Probable Antigen
-0.3902,Probable Non-Antigen
